filename,category,suggested_id
beltHandle1.ogg,se,se_belt_handle_1
beltHandle2.ogg,se,se_belt_handle_2
bookClose.ogg,se,se_book_close
bookFlip1.ogg,se,se_book_flip_1
bookFlip2.ogg,se,se_book_flip_2
bookFlip3.ogg,se,se_book_flip_3
bookOpen.ogg,se,se_book_open
bookPlace1.ogg,se,se_book_place_1
bookPlace2.ogg,se,se_book_place_2
bookPlace3.ogg,se,se_book_place_3
chop.ogg,se,se_chop
cloth1.ogg,se,se_cloth_1
cloth2.ogg,se,se_cloth_2
cloth3.ogg,se,se_cloth_3
cloth4.ogg,se,se_cloth_4
clothBelt.ogg,se,se_cloth_belt
clothBelt2.ogg,se,se_cloth_belt_2
creak1.ogg,ambient,amb_creak_1
creak2.ogg,ambient,amb_creak_2
creak3.ogg,ambient,amb_creak_3
doorClose_1.ogg,se,se_door_close_1
doorClose_2.ogg,se,se_door_close_2
doorClose_3.ogg,se,se_door_close_3
doorClose_4.ogg,se,se_door_close_4
doorOpen_1.ogg,se,se_door_open_1
doorOpen_2.ogg,se,se_door_open_2
drawKnife1.ogg,se,se_draw_knife_1
drawKnife2.ogg,se,se_draw_knife_2
drawKnife3.ogg,se,se_draw_knife_3
dropLeather.ogg,se,se_drop_leather
footstep00.ogg,se,se_footstep_00
footstep01.ogg,se,se_footstep_01
footstep02.ogg,se,se_footstep_02
footstep03.ogg,se,se_footstep_03
footstep04.ogg,se,se_footstep_04
footstep05.ogg,se,se_footstep_05
footstep06.ogg,se,se_footstep_06
footstep07.ogg,se,se_footstep_07
footstep08.ogg,se,se_footstep_08
footstep09.ogg,se,se_footstep_09
handleCoins.ogg,ui,ui_handle_coins
handleCoins2.ogg,ui,ui_handle_coins_2
handleSmallLeather.ogg,se,se_handle_small_leather
handleSmallLeather2.ogg,se,se_handle_small_leather_2
knifeSlice.ogg,se,se_knife_slice
knifeSlice2.ogg,se,se_knife_slice_2
metalClick.ogg,ui,ui_metal_click
metalLatch.ogg,se,se_metal_latch
metalPot1.ogg,se,se_metal_pot_1
metalPot2.ogg,se,se_metal_pot_2
metalPot3.ogg,se,se_metal_pot_3
